City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,Saint-Philippe,RE,80.6,few clouds,-21.3585,55.7679,Saint-Philippe
12,Pipri,IN,75.2,clear sky,19.8,75.5333,Pipri
13,Atuona,PF,78.17,scattered clouds,-9.8,-139.0333,Atuona
15,Puerto Ayora,EC,82.0,light rain,-0.7393,-90.3518,Puerto Ayora
18,Rikitea,PF,79.23,broken clouds,-23.1203,-134.9692,Rikitea
20,Yulara,AU,77.0,clear sky,-25.2406,130.9889,Petermann
21,Georgetown,MY,86.0,few clouds,5.4112,100.3354,George Town
25,Butaritari,KI,79.16,few clouds,3.0707,172.7902,Isles Sunset Lodge
40,Acarau,BR,87.62,broken clouds,-2.8856,-40.12,Acaraú
41,Castro,BR,77.52,clear sky,-24.7911,-50.0119,Castro
51,Santa Luzia,BR,77.0,broken clouds,-19.7697,-43.8514,Santa Luzia
55,Mangaluru,IN,78.8,light rain,12.8667,74.8833,Mangalore
57,Cayenne,GF,86.0,scattered clouds,4.9333,-52.3333,Cayenne
63,La Romana,DO,84.2,scattered clouds,18.4273,-68.9728,La Romana
64,Port-Gentil,GA,84.2,scattered clouds,-0.7193,8.7815,Port-Gentil
67,Caravelas,BR,84.87,light rain,-17.7125,-39.2481,Caravelas
68,Isangel,VU,78.8,few clouds,-19.55,169.2667,Isangel
69,Ambon,ID,80.44,overcast clouds,-3.6954,128.1814,Teluk Ambon
83,Soyo,AO,87.8,scattered clouds,-6.1349,12.3689,Soyo
85,Muscat,OM,75.2,clear sky,23.6139,58.5922,Muscat
86,Tautira,PF,77.0,light rain,-17.7333,-149.15,Tautira
87,Correderos,HN,86.0,few clouds,15.4167,-88.45,Correderos
91,Linhares,BR,88.41,overcast clouds,-19.3911,-40.0722,Linhares
94,Sinnamary,GF,81.01,overcast clouds,5.3833,-52.95,Sinnamary
97,Kuala Terengganu,MY,78.8,few clouds,5.3302,103.1408,Kuala Terengganu
98,Vao,NC,80.01,scattered clouds,-22.6667,167.4833,Vao
100,Sola,VU,77.0,few clouds,-13.8833,167.55,Sola
103,Matara,LK,77.52,broken clouds,5.9485,80.5353,Matara
105,Avarua,CK,78.8,overcast clouds,-21.2078,-159.775,Avarua District
